id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
67.0,-0.025091976,0.09014286,0.04639879,0.019731697,-0.06879627,-0.0688011,-0.08838328,0.07323523,0.020223003,0.041614514,-0.0958831,0.093981974,0.06648853,-0.057532176,-0.06363501,-0.063319094,-0.039151553,0.004951286,-0.013610996,-0.04175417,0.022370579,-0.07210123,-0.04157107,-0.026727632,-0.008786003,0.057035193,-0.060065243,0.0028468876,0.018482914,-0.09070992,0.021508971,-0.06589518,-0.08698968,0.089777105,0.09312641,0.06167947,-0.039077245,-0.08046558,0.036846604,-0.011969501,-0.075592354,-0.000964618,-0.093122296,0.08186408,-0.048244003,0.032504458,-0.037657786,0.004013604,0.009342056,-0.06302911,0.09391692,0.055026565,0.08789979,0.07896547,0.019579995,0.084374845,-0.0823015,-0.06080343,-0.09095454,-0.034933932,-0.022264542,-0.045730192,0.0657475,-0.028649334
156.0,-0.0438131,0.008539217,-0.071815155,0.060439397,-0.08508987,0.09737739,0.054448955,-0.060256865,-0.09889558,0.063092284,0.04137147,0.045801435,0.05425407,-0.08519107,-0.028306855,-0.076826185,0.07262068,0.024659626,-0.033820394,-0.08728833,-0.037803534,-0.034963336,0.045921236,0.027511494,0.07744255,-0.005557015,-0.07608115,0.042648956,0.05215701,0.01225544,0.054193437,-0.0012408807,0.004546566,-0.0144917965,-0.09491617,-0.07842171,-0.09371416,0.027282082,-0.037128802,0.0017141382,0.08151329,-0.050141554,-0.017923415,0.051110227,-0.05424037,-0.08460402,-0.04204971,-0.067755744,0.085939534,0.061624076,0.02668075,0.074292116,0.060734414,-0.06268599,0.0785118,0.007868448,0.061488032,0.07921826,-0.036399305,-0.077989615,-0.05441297,-0.014578442,0.063602954,0.07214612
205.0,-0.098609574,0.0021494606,-0.0165178,-0.055578437,-0.076026924,-0.032476965,0.08858194,-0.035359412,0.0037581243,0.04060379,-0.02727408,0.09435642,0.09248946,-0.049643543,-0.00055029884,-0.039824337,-0.0430319,-0.09262261,0.021912867,0.00053580466,-0.08970425,-0.044270705,0.08165318,-0.052087624,-0.07102103,-0.002109448,0.09713009,-0.051588945,0.03442711,0.052323923,-0.05247249,0.04564327,-0.026443373,0.026461165,0.026705943,0.007154937,-0.081942044,0.0670605,-0.035843987,-0.0626963,-0.09184497,0.018178588,0.035512872,-0.09668244,0.0024186117,-0.054700844,0.029034559,-0.06512672,0.03818755,-0.022652932,0.087345995,-0.07249581,-0.03178673,-0.077305295,0.08493873,0.07546787,-0.048411675,0.03199681,0.06344444,0.011040162,0.0059301155,-0.051629543,-0.08137944,0.07944315
227.0,0.08008361,0.026620291,-0.03219404,-0.030158086,0.045191135,0.07942205,0.077417284,0.05597511,0.02840633,-0.08317201,-0.06767426,0.07971084,0.021285811,-0.09816059,-0.07970569,0.032700352,-0.09898768,-0.06783839,0.009746758,0.03837904,0.030392252,-0.05514614,0.042435843,-0.05255018,-0.03492006,0.049298283,0.02992658,0.069844685,0.03152258,0.013661721,-0.08126505,-0.026456838,-0.046959527,-0.05120207,0.09460211,-0.021380454,0.078409314,0.026227726,0.05896226,0.0005274186,0.0153807765,-0.0014964612,-0.060951404,0.044490423,-0.043845527,-0.09513681,0.02909446,-0.06457786,0.088091716,0.09078571,0.08297288,-0.02596826,-0.09690867,0.08566371,-0.014363171,0.093330964,0.092723995,0.07060189,-0.04111022,-0.022980453,0.07022733,-0.0366156,-0.066101454,0.011360252
296.0,0.08723096,0.03920596,0.014012234,-0.0805647,0.023001445,0.09801077,-0.071983196,0.0036659304,0.07547461,0.048153725,0.039403148,0.040496815,-0.02810177,-0.04128163,0.061872233,0.06202268,0.07341447,0.08264811,0.0022684797,0.00030325894,0.059659034,0.029992785,0.040393375,0.059158534,0.07800107,-0.03240097,-0.02488341,-0.08120361,0.015656028,-0.09281155,-0.0068803965,0.008528927,-0.04269175,0.018166652,-0.09389995,-0.09253036,0.06452011,-0.027961873,-0.0745879,0.004448652,0.053998712,-0.056835793,0.024578094,-0.082930505,-0.089663655,0.0062709264,0.008127024,0.02748598,0.045218267,0.095170416,0.0032600698,-0.035408705,0.05903724,-0.04583355,-0.012205716,-0.08430872,-0.09492985,0.092529684,0.06719603,0.03919484,-0.01820941,-0.06534114,-0.06871259,-0.04995142
300.0,0.009845333,0.042919185,0.032039475,-0.04401322,0.09097306,0.04757938,0.010870811,0.02234415,-0.016079988,-0.0504538,-0.028805465,0.051569223,-0.097121306,-0.076785475,-0.09079947,-0.09185424,0.071092114,0.04073157,-0.005165234,-0.08043317,-0.001676825,-0.005305646,-0.06535963,-0.01322967,-0.020299053,0.02317002,0.02701873,-0.0909392,-0.025077477,0.025171984,0.0006272517,0.071297966,0.031738725,-0.067413114,-0.08588625,0.028483856,-0.094697736,0.017155116,0.08804605,0.015094835,-0.022366015,0.028657643,-0.008349422,0.009123358,0.088292964,-0.022779472,0.09223811,0.081070125,-0.060841773,-0.08612774,-0.0798444,-0.09635563,-0.08111141,0.036601353,-0.08576227,-0.036204875,0.06897506,-0.09534562,0.062893696,-0.043629047,-0.076367036,0.039347433,0.02578857,0.0754944
310.0,0.04701421,0.060696185,-0.043593086,-0.06451209,0.05012295,0.06136695,0.09810103,-0.017476464,-0.025596382,0.055282593,-0.031839292,0.086151466,0.07168255,-0.014201195,0.050174214,0.050908573,-0.07937523,0.08051058,0.0010504745,0.065291494,-0.035990078,0.07910465,-0.022159664,-0.09783247,0.0810764,-0.08174267,-0.03613727,0.090012394,0.090121426,0.014687577,0.026367443,-0.010310896,-0.041357845,-0.03426709,0.03450369,0.050474904,0.05831581,0.05792363,-0.08175878,-0.0011159391,-0.08848825,0.009905776,-0.0116938995,0.07754084,-0.029816998,-0.0765866,-0.07140166,0.052302126,0.023643613,-0.07977547,-0.08317864,0.040193826,-0.0854474,0.06437201,0.041248444,-0.08373024,-0.08303246,0.09732792,-0.025145842,-0.025871571,0.06255991,0.08944972,0.097200215,0.050675638
341.0,-0.024748083,-0.08329986,0.055429384,0.01168085,-0.0151555985,0.08127087,-0.0777605,-0.0014749791,-0.09772927,-0.0062678717,-0.08873934,-0.07623642,-0.07649475,0.02984206,0.049208976,0.016673753,0.09243451,-0.025025884,-0.042857584,0.07371983,-0.05528083,0.092644505,-0.09756911,0.09397577,-0.09136802,0.07822862,0.005540222,0.09859296,-0.085240684,0.010770857,0.09386051,0.004619569,0.025879728,0.03914974,-0.009091787,0.025511617,0.016862862,0.0802316,-0.090910725,-0.04380736,0.090082295,0.07805276,-0.00886865,0.024026519,-0.044523764,-0.06237577,-0.007260319,-0.029329555,0.016731223,-0.084453076,0.094878964,0.09724215,0.039632343,0.007219273,-0.038094476,0.062759005,0.036946233,-0.067476615,0.08218544,0.06450745,0.08995998,0.045143902,0.02268304,-0.016351392
475.0,0.0865457,0.07321278,-0.09095626,-0.09472661,-0.024707327,0.062110666,0.097455226,-0.06991662,0.018826144,-0.023821829,0.09398288,0.068423785,0.06766574,-0.006261368,-0.017036099,-0.045318585,-0.088724904,0.07294448,0.062580206,0.09994353,0.09932737,0.011086341,0.053797483,0.088953145,0.06992948,-0.05053038,-0.009891173,-0.074168116,0.0908102,0.021234928,-0.054271437,0.034340136,0.023625648,-0.028367456,-0.07728848,0.03431464,0.00406154,0.054463677,0.0040327003,0.0704363,0.010381368,0.012187595,0.07533072,-0.019303426,-0.073196955,-0.09424347,0.05102745,0.02406191,0.040815953,-0.057407167,-0.072725706,-0.097091064,-0.029882489,0.017983537,-0.021551192,-0.012505015,0.08083174,-0.030348906,0.002797898,0.056730602,-0.020691443,0.02441734,0.07247274,0.08990412
502.0,-0.0705853,0.08531752,-0.0015767413,-0.048351124,-0.008172849,0.09600651,-0.0014763812,-0.03424968,0.026680171,-0.051970877,-0.08482733,-0.074224055,-0.07439083,-0.06961946,-0.07223456,0.02817495,-0.06362398,-0.030866543,0.07935768,-0.005207672,0.03351155,-0.06553602,-0.061542198,-0.091826275,-0.06621299,-0.044281933,-0.064597905,-0.08225949,-0.07587282,-0.007844246,-0.058733255,-0.027146028,0.00068345416,0.038078967,-0.092137575,0.05988208,0.025580078,-0.08364819,0.074715726,0.08417448,-0.08778441,-0.04462447,0.061240256,0.04965194,-0.06309579,-0.058130134,-0.02590558,-0.0030954028,0.023650954,-0.026217273,-0.007493057,0.04949419,-0.09266336,-0.04951261,0.04266992,0.07904137,0.0023354883,0.006422697,-0.0785656,-0.010517526,0.006523453,-0.0515059,-0.046151355,-0.024543168
