user_id,outfit_id
844126,1277
844126,3165
844162,8424
844238,3233
844591,5086
844894,8590
845247,2289
845350,7800
845592,4271
846019,7892
846270,226
846306,8059
846446,3292
846573,3187
847064,7742
847131,2459
847143,4444
847245,2328
847594,4965
847600,6832
847742,1389
847742,7427
847861,8665
848503,2350
849082,6690
849155,5022
849158,396
849405,1387
849420,9316
849454,6155
849719,567
849793,7507
849959,4238
850759,1525
850821,4486
851039,2820
851047,5534
851124,2310
851199,7238
851253,1199
851509,296
851838,2881
852251,5348
852265,699
852709,3420
852776,2025
852961,1461
853201,5682
853293,4722
853327,296
853771,339
854108,7781
854179,6671
854304,8033
854493,965
854493,2325
855293,7210
855746,3586
855851,7943
855851,8179
856031,7210
856159,3491
856159,5224
856485,3637
856752,1636
857203,5042
857590,7228
857659,3292
857687,695
857722,3290
857740,5560
857804,1454
858145,5024
858158,5513
858272,811
858356,520
859097,2110
859232,2218
859752,217
860237,8243
860293,9101
860370,2746
860406,2934
860762,6987
860869,9017
860916,8757
861832,3661
861853,528
861909,906
862016,7943
862403,8806
862449,7188
862477,1313
862516,7534
862550,1547
862564,7580
862846,8321
862853,3201
863080,3061
863080,4955
863149,1095
863405,2400
863405,5302
863471,2081
863698,3234
863795,1018
863861,9292
863953,6496
864485,4323
864716,6621
865123,2294
865125,9304
865141,448
865141,6987
865141,8355
865212,8464
865318,404
865327,9338
865595,4701
865662,3244
866021,1218
866279,4868
866424,7043
866537,890
866595,4793
866600,3423
866604,1296
866669,969
866731,3257
866850,5693
867067,3381
867263,5513
867496,288
867545,5393
867664,2301
867705,8179
867985,2110
868068,2555
868471,4772
868702,3071
868777,1029
868792,3456
868885,1930
869195,797
869416,5024
869814,56
869905,1804
869925,7943
870225,4876
870246,1994
870314,6246
870333,5034
870518,8548
870609,222
870609,4793
870998,375
871013,3906
871227,3315
871734,1387
871884,2746
871920,2205
872206,3602
872279,8541
872318,6733
872382,540
872408,2231
872511,8967
872627,2934
872627,9065
872695,4203
872695,6933
872710,1460
872713,1273
872836,5900
872996,5032
873047,2459
873463,4263
873644,4260
873806,5024
874083,6390
874114,5510
874431,6313
874481,3678
874726,9157
874738,2256
874738,2620
874738,6460
874794,5246
875237,6933
875251,6432
875327,5200
875410,7299
875512,3678
875512,7824
875649,3165
875649,6609
875688,6987
875923,4806
876462,359
876602,841
876642,4476
876767,8548
877034,3207
877052,9189
877274,6509
877686,2289
877690,8806
877690,9072
877868,8632
878005,8858
878009,4304
878078,87
878114,5331
878421,2873
878800,7871
878800,8314
879047,4345
879240,1461
879254,8613
880297,2864
880497,2308
880554,2196
880630,8324
880822,1358
880940,5024
881007,7655
881367,6596
881466,109
881734,3599
882074,3893
882199,2571
883012,226
883012,2347
883656,2328
883862,6942
884296,8314
884427,7297
884610,7577
884642,222
884763,927
884960,8775
885153,4577
885325,7668
885368,6521
885641,3561
885835,5245
885872,1419
885872,7396
885879,7210
886140,5627
886167,2822
886249,585
886339,3292
886376,1358
886577,4059
886577,7639
886786,1738
886912,3586
886984,4208
888073,223
888113,2890
889042,226
889057,5680
889121,5043
889269,7577
889300,6807
889954,6933
890109,9292
890318,152
890504,1330
890522,1725
890523,952
890737,4170
890908,1330
891092,6547
891260,2303
891260,7972
891337,1405
891412,7655
891686,5705
891697,3880
891716,5627
891850,8292
892529,5263
892555,1651
892777,8724
892832,7426
892957,5593
893240,2308
893341,2085
893654,3512
893674,3547
893918,2775
894123,4854
894276,1029
894582,1482
894918,6009
895039,4691
895039,6933
895220,4803
895220,5428
895713,1442
895776,6987
895972,5953
896131,851
896207,6590
896477,1192
896649,6933
896776,3292
896776,6733
897030,7781
897126,226
897190,4806
897303,2231
897737,6987
897933,8548
897984,188
897995,3441
898498,7409
898747,7087
898851,4248
898885,4691
899059,1371
899765,2085
899853,3143
899889,5798
900255,831
900429,1500
900532,7481
900610,2256
901049,4691
901226,6164
901440,1128
901561,8091
901628,1330
901683,6164
901933,5646
902083,4263
902083,4691
902097,1959
902117,2678
902122,1725
902342,3105
902342,6746
902447,7047
902782,3824
902907,2350
902907,6288
903010,2289
903051,747
903445,375
903533,645
903636,3053
903827,2350
903855,5705
903950,7700
904384,1642
904414,6480
904684,1122
905052,7801
905558,3731
905756,3317
906481,319
906481,761
906481,1040
906481,1707
906481,2061
906481,5255
906602,4615
906638,4486
906884,1324
906906,2166
907452,3143
907714,4872
907728,4694
907743,8775
908318,2272
908405,5086
908930,7581
909026,4951
909161,5682
909421,3053
909495,3191
909861,3602
910348,8314
910348,8650
910422,5789
910426,5682
910707,728
911684,3273
912353,3143
912577,767
912612,5171
912761,6629
912762,7801
912767,4691
912923,1625
913233,7453
913318,6609
913318,7523
913372,9292
913502,2984
