5693;4;2;3082,10954,630,8150;3082,10954,4640,8150;3082,10954,15770,8150;3082,10954,13182,8150
2023;4;1;2005,5019,17472,9613;2005,5758,17472,9613;2005,16835,17472,9613;2005,529,17472,9613
3165;5;4;13582,14911,10173,1650,15028;13582,14911,10173,1650,5304;13582,14911,10173,1650,12932;13582,14911,10173,1650,4279
2108;5;0;1788,11368,2775,16176,5384;8980,11368,2775,16176,5384;12907,11368,2775,16176,5384;2321,11368,2775,16176,5384
1828;3;1;1017,14838,3078;1017,3867,3078;1017,14848,3078;1017,5478,3078
313;3;2;899,10544,3057;899,10544,15071;899,10544,2307;899,10544,7637
7609;3;1;1417,5606,6613;1417,15044,6613;1417,10653,6613;1417,3208,6613
5502;5;3;2308,1580,18239,11677,10739;2308,1580,18239,379,10739;2308,1580,18239,13466,10739;2308,1580,18239,2043,10739
3380;3;0;18014,5867,172;3322,5867,172;6327,5867,172;10131,5867,172
1371;5;3;2656,17012,17581,16951,378;2656,17012,17581,4,378;2656,17012,17581,9758,378;2656,17012,17581,17458,378
1513;4;2;8593,4339,378,10145;8593,4339,9945,10145;8593,4339,5585,10145;8593,4339,4783,10145
6621;5;0;5407,11616,404,18317,7250;8063,11616,404,18317,7250;5718,11616,404,18317,7250;15950,11616,404,18317,7250
4183;3;1;7157,897,10748;7157,5150,10748;7157,14882,10748;7157,4156,10748
9139;4;3;1202,17448,3464,17085;1202,17448,3464,4222;1202,17448,3464,2352;1202,17448,3464,139
5927;3;1;4765,17857,1491;4765,2429,1491;4765,542,1491;4765,528,1491
4563;5;3;7892,11725,2031,10924,16737;7892,11725,2031,7333,16737;7892,11725,2031,488,16737;7892,11725,2031,3770,16737
5722;4;2;2007,14341,15093,5060;2007,14341,4511,5060;2007,14341,17343,5060;2007,14341,16848,5060
921;4;0;2314,1451,17801,3501;5519,1451,17801,3501;18060,1451,17801,3501;10976,1451,17801,3501
6795;4;3;18380,16495,9874,820;18380,16495,9874,2147;18380,16495,9874,14205;18380,16495,9874,7331
5325;3;0;392,3331,19053;14652,3331,19053;18956,3331,19053;11854,3331,19053
5787;4;1;5534,51,6657,15916;5534,4032,6657,15916;5534,340,6657,15916;5534,8379,6657,15916
1274;4;0;16095,9038,378,7663;12699,9038,378,7663;17977,9038,378,7663;16125,9038,378,7663
6156;4;2;1992,9440,12362,5315;1992,9440,16028,5315;1992,9440,10410,5315;1992,9440,17699,5315
4574;4;0;12221,11168,820,11474;3191,11168,820,11474;9431,11168,820,11474;10241,11168,820,11474
441;5;0;11263,8768,16174,310,10545;13598,8768,16174,310,10545;16364,8768,16174,310,10545;11719,8768,16174,310,10545
2447;4;2;8893,271,18317,18949;8893,271,16337,18949;8893,271,17425,18949;8893,271,1842,18949
2464;5;0;11366,12641,356,15641,11003;17425,12641,356,15641,11003;4860,12641,356,15641,11003;16644,12641,356,15641,11003
3555;3;0;12672,13640,328;7071,13640,328;15281,13640,328;8172,13640,328
3001;4;2;17730,18608,1294,4664;17730,18608,13490,4664;17730,18608,11264,4664;17730,18608,1790,4664
8639;5;1;16229,1431,7588,15277,3869;16229,4816,7588,15277,3869;16229,361,7588,15277,3869;16229,5355,7588,15277,3869
1337;4;3;1509,10472,15377,17939;1509,10472,15377,1664;1509,10472,15377,5395;1509,10472,15377,15268
3326;4;2;16661,8253,16336,688;16661,8253,3798,688;16661,8253,12883,688;16661,8253,3448,688
8529;3;1;11275,679,5123;11275,12509,5123;11275,9729,5123;11275,5779,5123
1593;4;1;1004,14939,7686,10484;1004,6585,7686,10484;1004,17826,7686,10484;1004,17778,7686,10484
604;4;1;116,13286,3046,15408;116,12416,3046,15408;116,557,3046,15408;116,11896,3046,15408
840;3;0;18602,8884,378;14063,8884,378;17586,8884,378;7146,8884,378
2983;4;0;9539,5665,825,15414;13008,5665,825,15414;12074,5665,825,15414;10468,5665,825,15414
9334;4;1;3502,6579,1513,9492;3502,11315,1513,9492;3502,3101,1513,9492;3502,9926,1513,9492
6389;4;1;1892,16334,3697,17393;1892,18973,3697,17393;1892,11687,3697,17393;1892,3360,3697,17393
5244;4;2;16835,17084,378,11950;16835,17084,8387,11950;16835,17084,14593,11950;16835,17084,17818,11950
8671;5;4;503,8533,12299,10650,18860;503,8533,12299,10650,1071;503,8533,12299,10650,15798;503,8533,12299,10650,10058
6805;4;1;11250,15360,3395,1530;11250,12711,3395,1530;11250,18692,3395,1530;11250,10865,3395,1530
7043;3;0;1469,18661,17011;14082,18661,17011;6763,18661,17011;3993,18661,17011
4021;3;2;18340,3385,1714;18340,3385,12323;18340,3385,8527;18340,3385,4775
1415;4;3;2128,7611,13779,6948;2128,7611,13779,3815;2128,7611,13779,1675;2128,7611,13779,2647
6212;4;1;18463,17296,2114,13245;18463,4470,2114,13245;18463,15513,2114,13245;18463,155,2114,13245
1501;4;1;1380,13214,6726,16843;1380,18985,6726,16843;1380,6042,6726,16843;1380,17209,6726,16843
1320;3;2;1157,11266,4359;1157,11266,17939;1157,11266,16138;1157,11266,1530
6336;4;3;18950,19007,9478,378;18950,19007,9478,3697;18950,19007,9478,9777;18950,19007,9478,6518
87;3;2;2005,12719,10480;2005,12719,10230;2005,12719,3461;2005,12719,9635
3474;4;3;3300,12449,1927,1375;3300,12449,1927,17203;3300,12449,1927,2446;3300,12449,1927,14359
4364;5;1;3968,14558,9288,999,9086;3968,15446,9288,999,9086;3968,8870,9288,999,9086;3968,13966,9288,999,9086
7348;5;1;9213,14837,3629,378,15626;9213,3418,3629,378,15626;9213,9429,3629,378,15626;9213,2593,3629,378,15626
2856;3;1;1084,6508,15563;1084,10788,15563;1084,12841,15563;1084,19047,15563
2152;5;2;13582,4110,403,7916,5060;13582,4110,12546,7916,5060;13582,4110,19152,7916,5060;13582,4110,9484,7916,5060
2083;4;2;2543,13582,1034,18291;2543,13582,4633,18291;2543,13582,12983,18291;2543,13582,16198,18291
3840;3;0;7314,116,14146;17224,116,14146;16695,116,14146;990,116,14146
8767;3;0;10094,9695,1186;17369,9695,1186;17022,9695,1186;15319,9695,1186
2386;4;2;14284,10961,17392,378;14284,10961,16600,378;14284,10961,14603,378;14284,10961,2813,378
4126;4;0;15858,378,17983,12613;9059,378,17983,12613;7785,378,17983,12613;18893,378,17983,12613
8117;3;0;14250,5739,1768;10874,5739,1768;13127,5739,1768;15054,5739,1768
9277;3;2;1587,13101,6056;1587,13101,11880;1587,13101,13257;1587,13101,7408
3279;4;1;1992,6778,14121,3271;1992,16984,14121,3271;1992,1655,14121,3271;1992,18935,14121,3271
504;3;0;1012,13739,16787;16983,13739,16787;18453,13739,16787;7485,13739,16787
3708;4;2;11709,10616,688,11924;11709,10616,18478,11924;11709,10616,14376,11924;11709,10616,10461,11924
8845;5;2;4626,13952,18974,1380,6791;4626,13952,18730,1380,6791;4626,13952,14538,1380,6791;4626,13952,5285,1380,6791
